index,id,title,url,duration_seconds,themes,assets
173,at7uItPdu7s,怎麼樣成為產品經理？ft.矽谷阿雅,https://www.youtube.com/watch?v=at7uItPdu7s,998.0,,
174,ckwDcHE_QJY,世紀失敗品：氫能源車,https://www.youtube.com/watch?v=ckwDcHE_QJY,686.0,,
175,Ska2dPEu7EA,年薪70萬美金是矽谷貧困線？,https://www.youtube.com/watch?v=Ska2dPEu7EA,670.0,,
176,pbzs6A-topY,從ALL IN比特幣的工程師到華人首富,https://www.youtube.com/watch?v=pbzs6A-topY,666.0,crypto;career_wealth,Bitcoin
177,MvdK9at7GHE,從零開始了解比特幣：所有你需要知道的基礎,https://www.youtube.com/watch?v=MvdK9at7GHE,1249.0,crypto,Bitcoin
178,uASW46AWEwo,工程師幕後週末的一天,https://www.youtube.com/watch?v=uASW46AWEwo,722.0,career_wealth,
179,fcdUBUnfCA4,我的身體越來越糟糕了,https://www.youtube.com/watch?v=fcdUBUnfCA4,621.0,,
180,Rde7K2lf1RE,我買了一台車,https://www.youtube.com/watch?v=Rde7K2lf1RE,639.0,,
181,xMUjQKn13PA,成為Top 1%工程師,https://www.youtube.com/watch?v=xMUjQKn13PA,549.0,career_wealth,
182,W5ZWlX1LxEk,2024年的比特幣,https://www.youtube.com/watch?v=W5ZWlX1LxEk,561.0,crypto,Bitcoin
183,Pw4rPF0Gh_0,魯蛇工程師開箱西雅圖五億台幣豪宅,https://www.youtube.com/watch?v=Pw4rPF0Gh_0,1677.0,career_wealth,
184,ygL6OOOdwqM,西雅圖家裡淹水的天價維修帳單,https://www.youtube.com/watch?v=ygL6OOOdwqM,757.0,,
185,HN7f1thlGso,30萬訂閱Q&A,https://www.youtube.com/watch?v=HN7f1thlGso,1048.0,,
186,CxeDMF2jF9E,美國房地產為什麼沒有崩塌？,https://www.youtube.com/watch?v=CxeDMF2jF9E,749.0,real_estate,Airbnb / rental real estate
187,epaBq0UIPLk,公開我的加密貨幣虧損,https://www.youtube.com/watch?v=epaBq0UIPLk,736.0,portfolio_disclosure;crypto,
188,4XLE6C6R7dc,5年前的老特斯拉 Model 3 電池損耗跟自動駕駛？,https://www.youtube.com/watch?v=4XLE6C6R7dc,1055.0,equities_single_names,TSLA / Tesla
189,PgZI0k-_j_k,如何從文科學霸轉職成軟體工程師 ​@aliceinsiliconwonderland,https://www.youtube.com/watch?v=PgZI0k-_j_k,1671.0,career_wealth,
